Song,Artist
Lisztomania,Phoenix
Can't Stop,Red Hot Chili Peppers
Say It Ain't So,Weezer
Clint Eastwood,Gorillaz
Creep,Radiohead
Cigarette Daydreams,Cage The Elephant
Smells Like Teen Spirit,Nirvana
Sweater Weather,The Neighbourhood
Yellow,Coldplay
In the End,Linkin Park
Do I Wanna Know?,Arctic Monkeys
Sex on Fire,Kings of Leon
Feel Good Inc.,Gorillaz
Stressed Out,Twenty One Pilots
Bring Me To Life,Evanescence
Basket Case,Green Day
The Scientist,Coldplay
1901,Phoenix
Numb,Linkin Park
Everlong,Foo Fighters
Losing My Religion,R.E.M.
Under the Bridge,Red Hot Chili Peppers
Teenagers,My Chemical Romance
Heathens,Twenty One Pilots
Electric Feel,MGMT
Heart-Shaped Box,Nirvana
Bitter Sweet Symphony - Remastered 2016,The Verve
Santeria,Sublime
R U Mine?,Arctic Monkeys
Otherside,Red Hot Chili Peppers
Island In The Sun,Weezer
American Idiot,Green Day
Centuries,Fall Out Boy
Supermassive Black Hole,Muse
Tongue Tied,GROUPLOVE
Aerials,System Of A Down
Lonely Boy,The Black Keys
When I Come Around,Green Day
Killing In The Name,Rage Against The Machine
Kids,MGMT
Like a Stone,Audioslave
Welcome to the Black Parade,My Chemical Romance
1979 - Remastered 2012,The Smashing Pumpkins
Change (In the House of Flies),Deftones
The Pretender,Foo Fighters
Black Hole Sun,Soundgarden
Buddy Holly,Weezer
Scar Tissue,Red Hot Chili Peppers
Drive,Incubus
The Kill,Thirty Seconds To Mars
Even Flow,Pearl Jam
When You Were Young,The Killers
Semi-Charmed Life,Third Eye Blind
Reptilia,The Strokes
What I Got,Sublime
Come As You Are,Nirvana
Helena,My Chemical Romance
Are You Gonna Be My Girl,Jet
The Only Exception,Paramore
Dog Days Are Over,Florence + The Machine
Time to Pretend,MGMT
Uprising,Muse
Best of You,Foo Fighters
Somebody That I Used To Know,Gotye
Alive,Pearl Jam
Hard Times,Paramore
Human,The Killers
Smooth Criminal,Alien Ant Farm
Sabotage,Beastie Boys
The Anthem,Good Charlotte
I Bet You Look Good On The Dancefloor,Arctic Monkeys
Misery Business,Paramore
No Rain,Blind Melon
Fat Lip,Sum 41
Float On,Modest Mouse
Beautiful Day,U2
Radioactive,Imagine Dragons
She Moves In Her Own Way,The Kooks
All Apologies,Nirvana
Ain't It Fun,Paramore
I Write Sins Not Tragedies,Panic! At The Disco
Starlight,Muse
Someday,The Strokes
Cough Syrup,Young the Giant
Howlin' for You,The Black Keys
Beverly Hills,Weezer
Jeremy,Pearl Jam
Miss Murder,AFI
Loser,Beck
Today - 2011 Remaster,The Smashing Pumpkins
I Believe in a Thing Called Love,The Darkness
Breezeblocks,alt-J
My Type,Saint Motel
Move Along,The All-American Rejects
Pardon Me,Incubus
Daughter - Remastered,Pearl Jam
Last Nite,The Strokes
You Oughta Know - 2015 Remaster,Alanis Morissette
Chelsea Dagger,The Fratellis
Left Hand Free,alt-J
Spoonman,Soundgarden
First,Cold War Kids
Young Blood,The Naked And Famous
HandClap,Fitz and The Tantrums
No One Knows,Queens of the Stone Age
Naive,The Kooks
This Is War,Thirty Seconds To Mars
Criminal,Fiona Apple
The Taste of Ink,The Used
Joker And The Thief,Wolfmother
Elderly Woman Behind the Counter in a Small Town - Remastered,Pearl Jam
Jane Says,Jane's Addiction
The Hand That Feeds,Nine Inch Nails
Do You Realize??,The Flaming Lips
Mysterious Ways,U2
Hard To Explain,The Strokes
Slither,Velvet Revolver
Close to Me - 2006 Remaster,The Cure
Kings And Queens,Thirty Seconds To Mars
Everything Is Alright,Motion City Soundtrack
Weak And Powerless,A Perfect Circle
Cold Hard Bitch,Jet
Soul Meets Body,Death Cab for Cutie
Daft Punk Is Playing at My House,LCD Soundsystem
Holiday / Boulevard of Broken Dreams,Green Day
Hate To Say I Told You So,The Hives
Get Free,The Vines
Animal,Miike Snow
Woman,Wolfmother
3 Libras,A Perfect Circle
1234,Feist
Figure It Out,Royal Blood
L.E.S. Artistes,Santigold
Walking On A Dream,Empire Of The Sun
Heavy Cross,Gossip
The Rat,The Walkmen
Panic Switch,Silversun Pickups
Carry the Zero,Built To Spill
Glycerine - 2014 Remastered,Bush
Seether,Veruca Salt
Been Caught Stealing,Jane's Addiction
Shoot the Runner,Kasabian
I Will Possess Your Heart,Death Cab for Cutie
Beating Heart Baby,Head Automatica
The Reason,Hoobastank
Sweet Disposition,The Temper Trap
That's Not My Name,The Ting Tings
Lazy Eye,Silversun Pickups
Show Me How to Live,Audioslave
Just Because,Jane's Addiction
Killed By An Angel,Sunny Day Real Estate
Fire,Kasabian
Trainwreck 1979 - Moulder Mix with in/out fades,Death From Above 1979
Mr. Brightside,The Killers
Golden Skans,Klaxons
Viva La Vida,Coldplay
Sail,AWOLNATION
Take Me Out,Franz Ferdinand
California - Tchad Blake Mix,Phantom Planet
Just Can't Get Enough - 2006 Remaster,Depeche Mode
"Cute Without the ""E"" (Cut From the Team)",Taking Back Sunday
Club Foot,Kasabian
A-Punk,Vampire Weekend
Zombie,The Cranberries
Time is Running Out,Muse
Alright,Supergrass
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush
Chasing Cars,Snow Patrol
Banquet,Bloc Party
Wolf Like Me,TV On The Radio
Somebody Told Me,The Killers
Karma Police,Radiohead
Echoes,The Rapture
Two Weeks,Grizzly Bear
The Distance,CAKE
Vertigo,U2
Young Folks,Peter Bjorn and John
The Funeral,Band of Horses
Heartbeats,The Knife
Icky Thump,The White Stripes
All The Small Things,blink-182
Cannonball,The Breeders
House Of Jealous Lovers,The Rapture
Unbelievers,Vampire Weekend
Interstate Love Song,Stone Temple Pilots
House Of Cards,Radiohead
Don't Look Back In Anger (Remastered),Oasis
The Middle,Jimmy Eat World
Ain't No Rest for the Wicked,Cage The Elephant
Obstacle 1,Interpol
"Steady, as She Goes",The Raconteurs
Can't Stand Me Now,The Libertines
Idioteque,Radiohead
New Slang,The Shins
Song 2,Blur
Seven Nation Army,The White Stripes
Closer,Nine Inch Nails
Pumped up Kicks,Foster The People
"Dance, Dance",Fall Out Boy
Don't Look Back into the Sun,The Libertines
